#,Sentance,Embedding
0,In my younger and more vulnerable years my father gave me some advicethat I’ve been turning over in my mind ever since.,[  0.23134887 -17.432552    -1.478037  ]
1,"“Whenever you feel like criticizing anyone,” he told me, “justremember that all the people in this world haven’t had the advantagesthat you’ve had.”He didn’t say any more, but we’ve always been unusually communicativein a reserved way, and I understood that he meant a great deal morethan that.",[ -5.6698127   6.957845  -11.115731 ]
2,"In consequence, I’m inclined to reserve all judgements, ahabit that has opened up many curious natures to me and also made methe victim of not a few veteran bores.",[ 21.67445      0.03306261 -12.688594  ]
3,"The abnormal mind is quick todetect and attach itself to this quality when it appears in a normalperson, and so it came about that in college I was unjustly accused ofbeing a politician, because I was privy to the secret griefs of wild,unknown men.",[-3.5978382 -2.708278   4.2044263]
4,"Most of the confidences were unsought—frequently I havefeigned sleep, preoccupation, or a hostile levity when I realized bysome unmistakable sign that an intimate revelation was quivering onthe horizon; for the intimate revelations of young men, or at leastthe terms in which they express them, are usually plagiaristic andmarred by obvious suppressions.",[17.977139  7.018448 12.506796]
5,Reserving judgements is a matter ofinfinite hope.,[-14.994624  -6.683142   8.839694]
6,"I am still a little afraid of missing something if Iforget that, as my father snobbishly suggested, and I snobbishlyrepeat, a sense of the fundamental decencies is parcelled outunequally at birth.",[  8.55993    -0.7816582 -11.835326 ]
7,"And, after boasting this way of my tolerance, I come to the admissionthat it has a limit.",[  2.5341074 -33.522526   12.780255 ]
8,"Conduct may be founded on the hard rock or thewet marshes, but after a certain point I don’t care what it’s foundedon.",[-6.783041  -1.5314524 -1.5714859]
9,When I came back from the East last autumn I felt that I wantedthe world to be in uniform and at a sort of moral attention forever; Iwanted no more riotous excursions with privileged glimpses into thehuman heart.,[ 27.577291  12.472821 -17.957388]
10,"Only Gatsby, the man who gives his name to this book, wasexempt from my reaction—Gatsby, who represented everything for which Ihave an unaffected scorn.",[ 5.882853 39.36049  -6.460466]
11,"If personality is an unbroken series ofsuccessful gestures, then there was something gorgeous about him, someheightened sensitivity to the promises of life, as if he were relatedto one of those intricate machines that register earthquakes tenthousand miles away.",[10.911514   6.1828737 16.491215 ]
12,"This responsiveness had nothing to do with thatflabby impressionability which is dignified under the name of the“creative temperament”—it was an extraordinary gift for hope, aromantic readiness such as I have never found in any other person andwhich it is not likely I shall ever find again.",[-3.9696646  9.128264  15.863279 ]
13,"No—Gatsby turned outall right at the end; it is what preyed on Gatsby, what foul dustfloated in the wake of his dreams that temporarily closed out myinterest in the abortive sorrows and short-winded elations of men.",[ 8.0002165 34.031475   4.44183  ]
14,"My family have been prominent, well-to-do people in this MiddleWestern city for three generations.",[-16.922787    5.3226213   6.279109 ]
15,"The Carraways are something of aclan, and we have a tradition that we’re descended from the Dukes ofBuccleuch, but the actual founder of my line was my grandfather’sbrother, who came here in fifty-one, sent a substitute to the CivilWar, and started the wholesale hardware business that my fathercarries on today.",[ 12.155325  17.000452 -24.990253]
16,"I never saw this great-uncle, but I’m supposed to look like him—withspecial reference to the rather hard-boiled painting that hangs infather’s office.",[ 2.6656463  7.102535  -7.748029 ]
17,"I graduated from New Haven in 1915, just a quarter ofa century after my father, and a little later I participated in thatdelayed Teutonic migration known as the Great War.",[ 15.447917  13.592447 -22.074568]
18,I enjoyed thecounter-raid so thoroughly that I came back restless.,[  2.8394098 -13.738276    9.282712 ]
19,"Instead of beingthe warm centre of the world, the Middle West now seemed like theragged edge of the universe—so I decided to go East and learn the bondbusiness.",[ 23.695744  12.822433 -15.736626]
20,"Everybody I knew was in the bond business, so I supposed itcould support one more single man.",[-0.53886807 -7.799077   -7.136984  ]
